timestamp,ks_temp,dht_humedad,light,soil_humidity,estado
2026-05-25 20:06:03,9.56,95.00,538,1775,Estable
2026-05-25 20:06:06,10.83,95.00,560,1773,Estable
2026-05-25 20:06:09,10.64,95.00,574,1776,Estable
2026-05-25 20:06:12,9.71,95.00,603,1774,Estable
2026-05-25 20:06:15,10.90,95.00,611,1774,Estable
2026-05-25 20:06:18,9.94,95.00,609,1776,Estable
2026-05-25 20:06:21,10.64,95.00,591,1773,Estable
2026-05-25 20:06:24,10.60,95.00,590,1773,Estable
2026-05-25 20:06:27,10.60,95.00,605,1769,Estable
2026-05-25 20:06:30,10.37,95.00,617,1776,Estable
2026-05-25 20:06:33,10.64,95.00,602,1771,Estable
2026-05-25 20:06:36,10.86,95.00,589,1775,Estable
2026-05-25 20:06:39,10.71,95.00,592,1773,Estable
2026-05-25 20:06:41,10.86,95.00,609,1775,Estable
2026-05-25 20:06:45,10.86,95.00,609,1775,Estable
2026-05-25 20:06:48,10.79,95.00,587,1773,Estable
2026-05-25 20:06:51,10.33,95.00,587,1774,Estable
2026-05-25 20:06:54,10.41,95.00,598,1773,Estable
2026-05-25 20:06:57,10.98,95.00,613,1775,Estable
2026-05-25 20:07:00,10.98,95.00,600,1775,Estable
2026-05-25 20:07:03,10.60,95.00,583,1771,Estable
2026-05-25 20:07:06,10.94,95.00,592,1774,Estable
2026-05-25 20:07:10,11.05,95.00,609,1774,Estable
2026-05-25 20:07:13,10.94,95.00,609,1770,Estable
2026-05-25 20:07:16,11.05,95.00,592,1774,Estable
2026-05-25 20:07:19,10.60,95.00,592,1780,Estable
2026-05-25 20:07:22,10.48,95.00,592,1776,Estable
2026-05-25 20:07:25,9.75,95.00,610,1771,Estable
2026-05-25 20:07:29,10.83,95.00,609,1777,Estable
2026-05-25 20:07:31,10.83,95.00,589,1773,Estable
2026-05-25 20:07:34,10.90,95.00,585,1776,Estable
2026-05-25 20:07:38,10.60,95.00,590,1773,Estable
2026-05-25 20:07:41,10.41,95.00,611,1777,Estable
2026-05-25 20:07:44,9.56,95.00,609,1779,Estable
2026-05-25 20:07:47,10.79,95.00,605,1778,Estable
2026-05-25 20:07:50,10.18,95.00,591,1776,Estable
2026-05-25 20:07:53,10.98,95.00,590,1775,Estable
2026-05-25 20:07:56,10.21,95.00,607,1781,Estable
2026-05-25 20:07:59,9.75,95.00,599,1772,Estable
2026-05-25 20:08:03,10.56,95.00,592,1776,Estable
2026-05-25 20:08:06,11.05,95.00,592,1778,Estable
2026-05-25 20:08:09,10.60,95.00,597,1776,Estable
2026-05-25 20:08:12,9.75,95.00,610,1777,Estable
2026-05-25 20:08:15,10.60,95.00,617,1776,Estable
2026-05-25 20:08:18,10.83,95.00,608,1781,Estable
2026-05-25 20:08:21,9.71,95.00,594,1776,Estable
2026-05-25 20:08:24,10.64,95.00,591,1773,Estable
2026-05-25 20:08:28,10.79,95.00,603,1775,Estable
2026-05-25 20:08:31,10.29,95.00,615,1777,Estable
2026-05-25 20:08:33,10.86,95.00,608,1775,Estable
