dht11_temp_c,dht11_humidity_pct,moisture_raw,light_raw,label
25.20,27.00,2785,2355,Ideal
25.20,27.00,2793,2397,Ideal
25.20,27.00,2775,2352,Ideal
25.20,27.00,2774,2288,Ideal
25.20,27.00,2772,2219,Ideal
25.20,27.00,2770,2170,Ideal
25.30,27.00,2773,2130,Ideal
25.20,27.00,2767,2113,Ideal
25.20,27.00,2775,2286,Ideal
25.20,27.00,2780,2399,Ideal
25.20,27.00,2783,2387,Ideal
25.20,27.00,2772,2282,Ideal
25.20,27.00,2778,2170,Ideal
25.20,28.00,2774,2192,Ideal
25.20,28.00,2775,2250,Ideal
25.20,28.00,2785,2325,Ideal
25.20,28.00,2768,2359,Ideal
25.20,27.00,2758,2416,Ideal
25.20,27.00,2743,2417,Ideal
25.20,27.00,2785,2429,Ideal
25.20,27.00,2768,2451,Ideal
25.20,27.00,2778,2430,Ideal
25.20,27.00,2774,2346,Ideal
25.20,27.00,2772,2234,Ideal
25.20,27.00,2774,2192,Ideal
25.20,27.00,2769,2287,Ideal
25.20,27.00,2777,2419,Ideal
25.20,27.00,2772,2439,Ideal
25.20,27.00,2767,2239,Ideal
25.20,27.00,2765,2207,Ideal
25.20,27.00,2772,2218,Ideal
25.20,27.00,2771,2333,Ideal
25.20,27.00,2767,2315,Ideal
25.20,27.00,2768,2141,Ideal
25.20,27.00,2773,2316,Ideal
25.20,27.00,2778,2309,Ideal
25.20,27.00,2768,2416,Ideal
25.20,28.00,2768,2325,Ideal
25.20,28.00,2771,2210,Ideal
25.20,28.00,2775,1851,Ideal
25.20,28.00,2768,2288,Ideal
25.20,28.00,2767,2448,Ideal
25.20,28.00,2775,2435,Ideal
25.20,28.00,2777,2271,Ideal
25.20,28.00,2774,2204,Ideal
25.20,28.00,2768,2352,Ideal
25.20,28.00,2782,2420,Ideal
25.20,28.00,2773,2482,Ideal
25.20,28.00,2770,2483,Ideal
25.20,28.00,2771,2320,Ideal
25.20,28.00,2779,2299,Ideal
25.20,28.00,2772,2269,Ideal
25.20,28.00,2770,2281,Ideal
25.20,28.00,2765,2367,Ideal
25.20,28.00,2771,2421,Ideal
25.20,28.00,2777,2559,Ideal
25.20,28.00,2773,2510,Ideal
25.20,28.00,2768,2464,Ideal
25.20,28.00,2771,2426,Ideal
25.20,28.00,2775,2338,Ideal
25.20,28.00,2772,2258,Ideal
25.20,28.00,2768,2228,Ideal
25.20,28.00,2767,2299,Ideal
25.20,28.00,2758,2409,Ideal
25.20,28.00,2765,2495,Ideal
25.20,27.00,2768,2490,Ideal
25.20,27.00,2768,2387,Ideal
25.20,27.00,2757,2258,Ideal
25.20,27.00,2779,2255,Ideal
25.20,27.00,2773,2371,Ideal
25.20,27.00,2763,2443,Ideal
25.20,27.00,2798,2496,Ideal
25.20,27.00,2770,2503,Ideal
25.20,27.00,2768,2384,Ideal
25.10,27.00,2768,2299,Ideal
25.20,28.00,2752,2255,Ideal
25.20,28.00,2759,2323,Ideal
25.20,27.00,2767,2405,Ideal
25.20,27.00,2771,2477,Ideal
25.20,27.00,2771,2544,Ideal
25.20,27.00,2755,2557,Ideal
25.20,27.00,2768,2582,Ideal
25.20,27.00,2768,2589,Ideal
25.20,27.00,2758,2594,Ideal
25.10,27.00,2769,2599,Ideal
25.10,27.00,2751,2605,Ideal
25.10,27.00,2761,2608,Ideal
25.10,27.00,2769,2603,Ideal
25.10,27.00,2765,2599,Ideal
