2026-05-19 19:36:13,18.50,36.00,2182,3537,Estable
2026-05-19 19:36:16,18.40,36.00,2158,3543,Estable
2026-05-19 19:36:19,18.56,36.00,2161,3538,Estable
2026-05-19 19:36:21,18.70,36.00,2180,3542,Estable
2026-05-19 19:36:24,18.70,36.00,2194,3559,Estable
2026-05-19 19:36:27,18.60,36.00,2209,3535,Estable
2026-05-19 19:36:29,18.43,36.00,2209,3568,Estable
2026-05-19 19:36:32,18.50,36.00,2183,3550,Estable
2026-05-19 19:36:35,18.40,36.00,2129,3539,Estable
2026-05-19 19:36:37,18.47,36.00,2080,3547,Estable
2026-05-19 19:36:40,18.43,36.00,2043,3547,Estable
2026-05-19 19:36:43,18.47,36.00,2056,3553,Estable
2026-05-19 19:36:45,18.40,36.00,2122,3555,Estable
2026-05-19 19:36:48,18.40,36.00,2191,3542,Estable
2026-05-19 19:36:51,18.40,36.00,2186,3535,Estable
2026-05-19 19:36:53,18.43,36.00,2077,3542,Estable
2026-05-19 19:36:56,18.30,36.00,1982,3556,Estable
2026-05-19 19:36:58,18.43,36.00,1939,3543,Estable
2026-05-19 19:37:01,18.40,36.00,1950,3538,Estable
2026-05-19 19:37:04,18.47,36.00,1951,3547,Estable
2026-05-19 19:37:06,18.27,36.00,1941,3541,Estable
2026-05-19 19:37:09,18.30,36.00,1955,3550,Estable
2026-05-19 19:37:12,18.33,36.00,1994,3545,Estable
2026-05-19 19:37:14,18.27,36.00,2019,3541,Estable
2026-05-19 19:37:17,18.33,36.00,2011,3548,Estable
2026-05-19 19:37:20,18.50,36.00,1984,3543,Estable
2026-05-19 19:37:22,18.30,36.00,1965,3545,Estable
2026-05-19 19:37:25,18.33,36.00,2011,3552,Estable
2026-05-19 19:37:28,18.30,36.00,2112,3538,Estable
2026-05-19 19:37:30,18.37,36.00,2191,3551,Estable
2026-05-19 19:37:33,18.30,36.00,2217,3542,Estable
2026-05-19 19:37:36,18.53,36.00,2196,3538,Estable
2026-05-19 19:37:38,18.37,36.00,2146,3552,Estable
2026-05-19 19:37:41,18.27,36.00,2078,3546,Estable
2026-05-19 19:37:44,18.30,36.00,2019,3533,Estable
2026-05-19 19:37:46,18.33,36.00,1968,3536,Estable
2026-05-19 19:37:49,18.37,36.00,1954,3551,Estable
2026-05-19 19:37:52,18.37,36.00,1981,3536,Estable
2026-05-19 19:37:54,18.30,36.00,2011,3536,Estable
2026-05-19 19:37:57,18.33,36.00,2086,3543,Estable
2026-05-19 19:38:00,18.33,36.00,2132,3536,Estable
2026-05-19 19:38:02,18.30,36.00,2181,3539,Estable
2026-05-19 19:38:05,18.30,36.00,2150,3536,Estable
2026-05-19 19:38:08,18.13,36.00,2107,3551,Estable
2026-05-19 19:38:10,18.30,36.00,2043,3552,Estable
2026-05-19 19:38:13,18.43,36.00,2025,3553,Estable
2026-05-19 19:38:16,18.47,36.00,2018,3542,Estable
2026-05-19 19:38:18,18.17,36.00,2019,3534,Estable
2026-05-19 19:38:21,18.43,36.00,2080,3545,Estable
2026-05-19 19:38:23,18.60,36.00,2112,3538,Estable
2026-05-19 19:38:26,18.66,36.00,2143,3539,Estable
2026-05-19 19:38:29,18.60,36.00,2169,3536,Estable
2026-05-19 19:38:31,18.66,36.00,2192,3549,Estable
2026-05-19 19:38:34,18.47,36.00,2201,3553,Estable
2026-05-19 19:38:37,18.66,36.00,2211,3541,Estable
2026-05-19 19:38:39,18.53,36.00,2181,3536,Estable
2026-05-19 19:38:42,18.40,36.00,2183,3536,Estable
2026-05-19 19:38:45,18.66,36.00,2153,3554,Estable
2026-05-19 19:38:47,18.43,36.00,2111,3555,Estable
2026-05-19 19:38:50,18.40,36.00,2038,3550,Estable
2026-05-19 19:38:53,18.43,36.00,1975,3539,Estable
2026-05-19 19:38:55,18.30,36.00,1975,3549,Estable
2026-05-19 19:38:58,18.37,36.00,2071,3547,Estable
2026-05-19 19:39:01,18.47,36.00,2198,3548,Estable
2026-05-19 19:39:03,18.33,36.00,2127,3547,Estable
2026-05-19 19:39:06,18.50,36.00,1958,3551,Estable
2026-05-19 19:39:08,18.43,36.00,1984,3550,Estable
2026-05-19 19:39:11,18.50,36.00,2014,3551,Estable
2026-05-19 19:39:14,18.33,36.00,1979,3550,Estable
2026-05-19 19:39:17,18.43,36.00,1925,3547,Estable
2026-05-19 19:39:19,18.33,36.00,1930,3549,Estable
2026-05-19 19:39:22,18.33,36.00,1928,3550,Estable
2026-05-19 19:39:25,18.33,36.00,1959,3546,Estable
2026-05-19 19:39:27,18.33,36.00,2093,3556,Estable
2026-05-19 19:39:30,18.50,36.00,2177,3550,Estable
2026-05-19 19:39:32,18.50,36.00,2179,3548,Estable
2026-05-19 19:39:35,18.43,36.00,2146,3581,Estable
2026-05-19 19:39:38,18.43,36.00,2134,3536,Estable
2026-05-19 19:39:41,18.50,36.00,2146,3543,Estable
2026-05-19 19:39:44,18.40,36.00,2175,3547,Estable
2026-05-19 19:39:46,18.40,36.00,2192,3554,Estable
2026-05-19 19:39:49,18.47,36.00,2153,3542,Estable
2026-05-19 19:39:52,18.47,36.00,2077,3552,Estable
2026-05-19 19:39:54,18.20,36.00,1993,3550,Estable
2026-05-19 19:39:57,18.33,36.00,1963,3536,Estable
2026-05-19 19:40:00,18.43,36.00,1946,3544,Estable
2026-05-19 19:40:02,18.60,36.00,1957,3545,Estable
2026-05-19 19:40:05,18.47,36.00,1958,3550,Estable
2026-05-19 19:40:08,18.60,36.00,1986,3553,Estable
2026-05-19 19:40:10,18.56,36.00,2033,3551,Estable
2026-05-19 19:40:13,18.50,36.00,2099,3536,Estable
